0,generation : 408,10,11,11,11,11,11,9,11,11,11,9,11,10,10,12,9,10,11,11,9,9,9,11,10,11,10,11,11,11,11,10,10
9,generation : 238,18,17,16,19,18,16,17,18,18,16,16,18,18,17,16,18,19,18,16,18,16,16,16,17,18,18,18,17,17,15,18,16
4,generation : 233,6,2,6,5,6,6,2,4,3,6,4,6,5,3,6,5,5,5,3,2,4,5,6,2,3,4,6,5,3,6,3,6
18,generation : 134,7,6,7,8,5,9,5,6,7,11,9,7,7,9,6,8,8,6,10,7,6,7,7,7,9,8,9,6,9,6,8,12,8,9,7,7,9,8,7,8,8,8,9,11,7,7,9,6,6,9,8,7,9,4,7,6,7,8,6,7,8,7,6,6,8,7,7,7,12,6,8,9,7,8,6,7,8,7,5,9,9,8,7,9,8,7,7,7,6,6,6,9,7,7,6,4,7,7,6,8,8,6,9,7,7,9,7,6,7,6,5,8,9,6,12,6,7,11,12,7,7,9,9,9,5,9,6,9
10,generation : 208,10,11,11,11,11,11,14,10,11,11,11,10,9,11,11,11,10,11,10,13,10,11,13,12,11,11,12,11,12,11,13,10
13,generation : 227,5,4,6,5,4,6,5,5,4,6,5,6,4,6,4,4,6,5,5,7,6,6,4,5,5,6,6,5,6,4,5,5
1,generation : 581,10,11,10,8,11,9,10,10,9,10,10,10,10,11,11,10,10,10,10,10,10,10,10,10,10,10,11,10,10,10,10,7
3,generation : 2891,7,4,3,6,7,6,7,5,5,5,6,4,4,7,7,6,6,7,6,6,6,6,6,5,5,4,6,6,5,7,6,5
2,generation : 256,15,17,15,12,15,16,16,15,16,15,15,17,16,15,17,14,17,17,12,16,15,16,16,17,17,17,16,16,15,14,15,11
14,generation : 139,7,7,8,8,8,7,7,7,7,7,7,7,6,8,7,7,7,8,6,7,8,6,7,7,7,8,8,7,8,7,7,8
5,generation : 285,15,14,17,16,14,15,14,14,14,16,16,16,14,16,16,16,14,15,16,14,15,17,14,16,14,14,15,14,14,14,16,14
17,generation : 149,9,8,9,9,9,9,11,9,11,9,9,9,8,9,10,9,8,10,9,8,11,11,10,8,8,7,7,11,8,9,8,8
11,generation : 150,13,14,14,14,12,13,13,11,13,14,14,11,11,11,11,14,11,14,13,13,14,13,10,15,14,11,14,11,14,12,10,11
8,generation : 319,10,10,10,10,10,12,12,10,10,11,10,10,10,12,12,10,10,10,10,10,10,12,10,12,10,12,10,10,10,10,9,10
7,generation : 1729,7,8,6,5,8,7,7,7,7,6,7,7,7,7,7,7,7,6,9,6,8,6,8,6,6,6,7,5,7,6,7,7
22,generation : 144,7,8,9,6,9,4,4,6,8,4,10,7,8,8,9,5,4,4,6,10,6,8,7,8,6,9,3,9,8,7,5,5,8,6,8,8,4,4,8,6,4,8,8,8,5,4,8,10,9,6,6,8,9,8,5,8,9,6,7,6,3,9,9,9,9,6,4,5,8,5,7,5,7,7,8,6,6,8,3,6,9,5,4,7,3,9,4,3,6,4,5,6,6,6,9,10,4,6,9,4,6,9,8,8,4,8,6,7,6,3,7,7,4,3,6,7,7,5,7,8,9,6,5,9,7,9,6,6
27,generation : 245,21,23,18,20,18,19,20,18,19,23,19,18,19,14,20,16,19,19,18,23,20,21,19,20,20,21,19,19,20,18,19,19,18,18,19,20,19,19,20,21,18,21,23,19,20,19,21,23,18,17,19,23,24,20,18,20,24,17,23,19,23,20,18,23,19,18,14,23,19,21,18,22,19,18,20,18,19,19,18,20,19,19,21,22,21,18,17,23,23,21,23,23,17,19,18,20,18,19,19,17,23,20,22,19,23,18,19,23,18,18,19,20,23,18,18,20,19,23,19,19,23,23,22,17,18,18,19,18
19,generation : 202,12,12,13,13,11,10,11,10,12,14,11,16,11,13,13,13,11,14,10,13,13,11,13,13,13,12,12,13,10,12,12,10,16,14,16,17,13,12,14,12,13,11,12,11,13,11,13,13,11,14,12,13,11,12,12,11,12,12,12,11,14,12,15,13,11,12,13,13,14,14,12,12,15,11,14,12,12,13,12,13,13,12,12,13,13,13,13,12,12,12,12,13,13,13,13,9,11,13,10,16,12,11,9,11,12,10,11,10,12,15,12,12,12,9,13,13,11,12,13,12,11,10,13,13,11,11,16,15
12,generation : 5348,3,4,4,5,4,3,4,4,4,4,6,3,4,2,4,3,5,4,4,3,4,4,5,3,4,5,5,5,4,4,3,3
16,generation : 1998,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,5,5,4,4,4,4,5,4,5,4,4,4,4,4,4
31,generation : 175,13,10,11,13,9,13,9,13,10,9,11,13,10,13,9,7,12,7,9,10,7,9,9,8,10,13,12,11,13,10,9,10,8,10,10,9,11,10,10,12,8,9,9,10,14,8,14,11,8,13,11,11,10,7,9,12,13,11,10,11,9,10,13,10,10,11,10,9,7,10,9,6,11,7,10,10,9,10,9,10,7,13,13,6,9,12,9,10,11,9,14,10,10,11,10,10,6,7,6,15,9,10,11,9,10,10,9,9,10,9,10,14,10,9,8,11,9,10,10,9,9,10,13,10,11,6,13,14
